Sector,Growth Rate,YearQuarter,Value
Saudi Arabia GDP,LOW,2024-Q3,903124.0
Saudi Arabia GDP,MEDIUM,2024-Q3,927152.0
Saudi Arabia GDP,HIGH,2024-Q3,954221.0
"Agriculture, Forestry & Fishing",LOW,2024-Q4,12272.0
"Agriculture, Forestry & Fishing",MEDIUM,2024-Q4,12765.0
"Agriculture, Forestry & Fishing",HIGH,2024-Q4,13328.0
Mining & Quarrying,LOW,2024-Q4,26379.0
Mining & Quarrying,MEDIUM,2024-Q4,27439.0
Mining & Quarrying,HIGH,2024-Q4,28649.0
Manufacturing,LOW,2024-Q4,46683.0
Manufacturing,MEDIUM,2024-Q4,48559.0
Manufacturing,HIGH,2024-Q4,50701.0
"Electricity, Gas and Water",LOW,2024-Q4,6424.0
"Electricity, Gas and Water",MEDIUM,2024-Q4,6682.0
"Electricity, Gas and Water",HIGH,2024-Q4,6977.0
Construction,LOW,2024-Q4,19809.0
Construction,MEDIUM,2024-Q4,20605.0
Construction,HIGH,2024-Q4,21514.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2024-Q4,35373.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2024-Q4,36794.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2024-Q4,38417.0
"Transport, Storage & Communication",LOW,2024-Q4,26507.0
"Transport, Storage & Communication",MEDIUM,2024-Q4,27572.0
"Transport, Storage & Communication",HIGH,2024-Q4,28788.0
Real Estate,LOW,2024-Q4,28876.0
Real Estate,MEDIUM,2024-Q4,30036.0
Real Estate,HIGH,2024-Q4,31361.0
"Finance, Insurance and Business services",LOW,2024-Q4,38358.0
"Finance, Insurance and Business services",MEDIUM,2024-Q4,39899.0
"Finance, Insurance and Business services",HIGH,2024-Q4,41659.0
"Community, Social & Personal Services",LOW,2024-Q4,18334.0
"Community, Social & Personal Services",MEDIUM,2024-Q4,19070.0
"Community, Social & Personal Services",HIGH,2024-Q4,19911.0
Government Activities,LOW,2024-Q4,110982.0
Government Activities,MEDIUM,2024-Q4,115441.0
Government Activities,HIGH,2024-Q4,120533.0
Riyadh GDP,LOW,2024-Q4,380287.0
Riyadh GDP,MEDIUM,2024-Q4,395565.0
Riyadh GDP,HIGH,2024-Q4,413014.0
Saudi Arabia GDP,LOW,2024-Q4,922541.0
Saudi Arabia GDP,MEDIUM,2024-Q4,959603.0
Saudi Arabia GDP,HIGH,2024-Q4,1001932.0
"Agriculture, Forestry & Fishing",LOW,2025-Q1,12536.0
"Agriculture, Forestry & Fishing",MEDIUM,2025-Q1,13212.0
"Agriculture, Forestry & Fishing",HIGH,2025-Q1,13994.0
Mining & Quarrying,LOW,2025-Q1,26946.0
Mining & Quarrying,MEDIUM,2025-Q1,28399.0
Mining & Quarrying,HIGH,2025-Q1,30081.0
Manufacturing,LOW,2025-Q1,47687.0
Manufacturing,MEDIUM,2025-Q1,50258.0
Manufacturing,HIGH,2025-Q1,53236.0
"Electricity, Gas and Water",LOW,2025-Q1,6562.0
"Electricity, Gas and Water",MEDIUM,2025-Q1,6916.0
"Electricity, Gas and Water",HIGH,2025-Q1,7326.0
Construction,LOW,2025-Q1,20235.0
Construction,MEDIUM,2025-Q1,21326.0
Construction,HIGH,2025-Q1,22589.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2025-Q1,36133.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2025-Q1,38082.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2025-Q1,40338.0
"Transport, Storage & Communication",LOW,2025-Q1,27077.0
"Transport, Storage & Communication",MEDIUM,2025-Q1,28537.0
"Transport, Storage & Communication",HIGH,2025-Q1,30228.0
Real Estate,LOW,2025-Q1,29497.0
Real Estate,MEDIUM,2025-Q1,31088.0
Real Estate,HIGH,2025-Q1,32929.0
"Finance, Insurance and Business services",LOW,2025-Q1,39183.0
"Finance, Insurance and Business services",MEDIUM,2025-Q1,41295.0
"Finance, Insurance and Business services",HIGH,2025-Q1,43742.0
"Community, Social & Personal Services",LOW,2025-Q1,18728.0
"Community, Social & Personal Services",MEDIUM,2025-Q1,19738.0
"Community, Social & Personal Services",HIGH,2025-Q1,20907.0
Government Activities,LOW,2025-Q1,113368.0
Government Activities,MEDIUM,2025-Q1,119481.0
Government Activities,HIGH,2025-Q1,126559.0
Riyadh GDP,LOW,2025-Q1,388464.0
Riyadh GDP,MEDIUM,2025-Q1,409410.0
Riyadh GDP,HIGH,2025-Q1,433665.0
Saudi Arabia GDP,LOW,2025-Q1,942375.0
Saudi Arabia GDP,MEDIUM,2025-Q1,993189.0
Saudi Arabia GDP,HIGH,2025-Q1,1052029.0
"Agriculture, Forestry & Fishing",LOW,2025-Q2,12805.0
"Agriculture, Forestry & Fishing",MEDIUM,2025-Q2,13674.0
"Agriculture, Forestry & Fishing",HIGH,2025-Q2,14694.0
Mining & Quarrying,LOW,2025-Q2,27525.0
Mining & Quarrying,MEDIUM,2025-Q2,29393.0
Mining & Quarrying,HIGH,2025-Q2,31585.0
Manufacturing,LOW,2025-Q2,48712.0
Manufacturing,MEDIUM,2025-Q2,52017.0
Manufacturing,HIGH,2025-Q2,55898.0
"Electricity, Gas and Water",LOW,2025-Q2,6703.0
"Electricity, Gas and Water",MEDIUM,2025-Q2,7158.0
"Electricity, Gas and Water",HIGH,2025-Q2,7692.0
Construction,LOW,2025-Q2,20670.0
Construction,MEDIUM,2025-Q2,22072.0
Construction,HIGH,2025-Q2,23719.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2025-Q2,36910.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2025-Q2,39414.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2025-Q2,42355.0
"Transport, Storage & Communication",LOW,2025-Q2,27659.0
"Transport, Storage & Communication",MEDIUM,2025-Q2,29536.0
"Transport, Storage & Communication",HIGH,2025-Q2,31739.0
Real Estate,LOW,2025-Q2,30131.0
Real Estate,MEDIUM,2025-Q2,32176.0
Real Estate,HIGH,2025-Q2,34576.0
"Finance, Insurance and Business services",LOW,2025-Q2,40025.0
"Finance, Insurance and Business services",MEDIUM,2025-Q2,42741.0
"Finance, Insurance and Business services",HIGH,2025-Q2,45929.0
"Community, Social & Personal Services",LOW,2025-Q2,19130.0
"Community, Social & Personal Services",MEDIUM,2025-Q2,20428.0
"Community, Social & Personal Services",HIGH,2025-Q2,21952.0
Government Activities,LOW,2025-Q2,115805.0
Government Activities,MEDIUM,2025-Q2,123663.0
Government Activities,HIGH,2025-Q2,132887.0
Riyadh GDP,LOW,2025-Q2,396815.0
Riyadh GDP,MEDIUM,2025-Q2,423739.0
Riyadh GDP,HIGH,2025-Q2,455348.0
Saudi Arabia GDP,LOW,2025-Q2,962636.0
Saudi Arabia GDP,MEDIUM,2025-Q2,1027950.0
Saudi Arabia GDP,HIGH,2025-Q2,1104630.0
"Agriculture, Forestry & Fishing",LOW,2025-Q3,13081.0
"Agriculture, Forestry & Fishing",MEDIUM,2025-Q3,14153.0
"Agriculture, Forestry & Fishing",HIGH,2025-Q3,15429.0
Mining & Quarrying,LOW,2025-Q3,28117.0
Mining & Quarrying,MEDIUM,2025-Q3,30422.0
Mining & Quarrying,HIGH,2025-Q3,33165.0
Manufacturing,LOW,2025-Q3,49760.0
Manufacturing,MEDIUM,2025-Q3,53838.0
Manufacturing,HIGH,2025-Q3,58693.0
"Electricity, Gas and Water",LOW,2025-Q3,6848.0
"Electricity, Gas and Water",MEDIUM,2025-Q3,7409.0
"Electricity, Gas and Water",HIGH,2025-Q3,8077.0
Construction,LOW,2025-Q3,21114.0
Construction,MEDIUM,2025-Q3,22845.0
Construction,HIGH,2025-Q3,24905.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2025-Q3,37704.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2025-Q3,40794.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2025-Q3,44472.0
"Transport, Storage & Communication",LOW,2025-Q3,28254.0
"Transport, Storage & Communication",MEDIUM,2025-Q3,30569.0
"Transport, Storage & Communication",HIGH,2025-Q3,33326.0
Real Estate,LOW,2025-Q3,30779.0
Real Estate,MEDIUM,2025-Q3,33302.0
Real Estate,HIGH,2025-Q3,36304.0
"Finance, Insurance and Business services",LOW,2025-Q3,40886.0
"Finance, Insurance and Business services",MEDIUM,2025-Q3,44237.0
"Finance, Insurance and Business services",HIGH,2025-Q3,48225.0
"Community, Social & Personal Services",LOW,2025-Q3,19542.0
"Community, Social & Personal Services",MEDIUM,2025-Q3,21143.0
"Community, Social & Personal Services",HIGH,2025-Q3,23050.0
Government Activities,LOW,2025-Q3,118295.0
Government Activities,MEDIUM,2025-Q3,127991.0
Government Activities,HIGH,2025-Q3,139532.0
Riyadh GDP,LOW,2025-Q3,405347.0
Riyadh GDP,MEDIUM,2025-Q3,438570.0
Riyadh GDP,HIGH,2025-Q3,478115.0
Saudi Arabia GDP,LOW,2025-Q3,983333.0
Saudi Arabia GDP,MEDIUM,2025-Q3,1063929.0
Saudi Arabia GDP,HIGH,2025-Q3,1159862.0
"Agriculture, Forestry & Fishing",LOW,2025-Q4,13362.0
"Agriculture, Forestry & Fishing",MEDIUM,2025-Q4,14648.0
"Agriculture, Forestry & Fishing",HIGH,2025-Q4,16200.0
Mining & Quarrying,LOW,2025-Q4,28722.0
Mining & Quarrying,MEDIUM,2025-Q4,31486.0
Mining & Quarrying,HIGH,2025-Q4,34823.0
Manufacturing,LOW,2025-Q4,50829.0
Manufacturing,MEDIUM,2025-Q4,55722.0
Manufacturing,HIGH,2025-Q4,61627.0
"Electricity, Gas and Water",LOW,2025-Q4,6995.0
"Electricity, Gas and Water",MEDIUM,2025-Q4,7668.0
"Electricity, Gas and Water",HIGH,2025-Q4,8481.0
Construction,LOW,2025-Q4,21568.0
Construction,MEDIUM,2025-Q4,23644.0
Construction,HIGH,2025-Q4,26150.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2025-Q4,38514.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2025-Q4,42222.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2025-Q4,46696.0
"Transport, Storage & Communication",LOW,2025-Q4,28861.0
"Transport, Storage & Communication",MEDIUM,2025-Q4,31639.0
"Transport, Storage & Communication",HIGH,2025-Q4,34992.0
Real Estate,LOW,2025-Q4,31441.0
Real Estate,MEDIUM,2025-Q4,34467.0
Real Estate,HIGH,2025-Q4,38120.0
"Finance, Insurance and Business services",LOW,2025-Q4,41765.0
"Finance, Insurance and Business services",MEDIUM,2025-Q4,45785.0
"Finance, Insurance and Business services",HIGH,2025-Q4,50637.0
"Community, Social & Personal Services",LOW,2025-Q4,19962.0
"Community, Social & Personal Services",MEDIUM,2025-Q4,21883.0
"Community, Social & Personal Services",HIGH,2025-Q4,24202.0
Government Activities,LOW,2025-Q4,120839.0
Government Activities,MEDIUM,2025-Q4,132471.0
Government Activities,HIGH,2025-Q4,146508.0
Riyadh GDP,LOW,2025-Q4,414062.0
Riyadh GDP,MEDIUM,2025-Q4,453920.0
Riyadh GDP,HIGH,2025-Q4,502021.0
Saudi Arabia GDP,LOW,2025-Q4,1004475.0
Saudi Arabia GDP,MEDIUM,2025-Q4,1101166.0
Saudi Arabia GDP,HIGH,2025-Q4,1217855.0
"Agriculture, Forestry & Fishing",LOW,2026-Q1,13649.0
"Agriculture, Forestry & Fishing",MEDIUM,2026-Q1,15161.0
"Agriculture, Forestry & Fishing",HIGH,2026-Q1,17010.0
Mining & Quarrying,LOW,2026-Q1,29339.0
Mining & Quarrying,MEDIUM,2026-Q1,32588.0
Mining & Quarrying,HIGH,2026-Q1,36564.0
Manufacturing,LOW,2026-Q1,51922.0
Manufacturing,MEDIUM,2026-Q1,57673.0
Manufacturing,HIGH,2026-Q1,64708.0
"Electricity, Gas and Water",LOW,2026-Q1,7145.0
"Electricity, Gas and Water",MEDIUM,2026-Q1,7936.0
"Electricity, Gas and Water",HIGH,2026-Q1,8905.0
Construction,LOW,2026-Q1,22032.0
Construction,MEDIUM,2026-Q1,24472.0
Construction,HIGH,2026-Q1,27457.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2026-Q1,39342.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2026-Q1,43699.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2026-Q1,49031.0
"Transport, Storage & Communication",LOW,2026-Q1,29482.0
"Transport, Storage & Communication",MEDIUM,2026-Q1,32747.0
"Transport, Storage & Communication",HIGH,2026-Q1,36742.0
Real Estate,LOW,2026-Q1,32117.0
Real Estate,MEDIUM,2026-Q1,35674.0
Real Estate,HIGH,2026-Q1,40026.0
"Finance, Insurance and Business services",LOW,2026-Q1,42663.0
"Finance, Insurance and Business services",MEDIUM,2026-Q1,47387.0
"Finance, Insurance and Business services",HIGH,2026-Q1,53168.0
"Community, Social & Personal Services",LOW,2026-Q1,20391.0
"Community, Social & Personal Services",MEDIUM,2026-Q1,22649.0
"Community, Social & Personal Services",HIGH,2026-Q1,25412.0
Government Activities,LOW,2026-Q1,123437.0
Government Activities,MEDIUM,2026-Q1,137107.0
Government Activities,HIGH,2026-Q1,153834.0
Riyadh GDP,LOW,2026-Q1,422964.0
Riyadh GDP,MEDIUM,2026-Q1,469807.0
Riyadh GDP,HIGH,2026-Q1,527122.0
Saudi Arabia GDP,LOW,2026-Q1,1026071.0
Saudi Arabia GDP,MEDIUM,2026-Q1,1139707.0
Saudi Arabia GDP,HIGH,2026-Q1,1278747.0
"Agriculture, Forestry & Fishing",LOW,2026-Q2,13943.0
"Agriculture, Forestry & Fishing",MEDIUM,2026-Q2,15691.0
"Agriculture, Forestry & Fishing",HIGH,2026-Q2,17861.0
Mining & Quarrying,LOW,2026-Q2,29970.0
Mining & Quarrying,MEDIUM,2026-Q2,33729.0
Mining & Quarrying,HIGH,2026-Q2,38392.0
Manufacturing,LOW,2026-Q2,53039.0
Manufacturing,MEDIUM,2026-Q2,59691.0
Manufacturing,HIGH,2026-Q2,67944.0
"Electricity, Gas and Water",LOW,2026-Q2,7299.0
"Electricity, Gas and Water",MEDIUM,2026-Q2,8214.0
"Electricity, Gas and Water",HIGH,2026-Q2,9350.0
Construction,LOW,2026-Q2,22506.0
Construction,MEDIUM,2026-Q2,25328.0
Construction,HIGH,2026-Q2,28830.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2026-Q2,40188.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2026-Q2,45229.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2026-Q2,51482.0
"Transport, Storage & Communication",LOW,2026-Q2,30116.0
"Transport, Storage & Communication",MEDIUM,2026-Q2,33893.0
"Transport, Storage & Communication",HIGH,2026-Q2,38579.0
Real Estate,LOW,2026-Q2,32807.0
Real Estate,MEDIUM,2026-Q2,36922.0
Real Estate,HIGH,2026-Q2,42027.0
"Finance, Insurance and Business services",LOW,2026-Q2,43580.0
"Finance, Insurance and Business services",MEDIUM,2026-Q2,49046.0
"Finance, Insurance and Business services",HIGH,2026-Q2,55827.0
"Community, Social & Personal Services",LOW,2026-Q2,20829.0
"Community, Social & Personal Services",MEDIUM,2026-Q2,23442.0
"Community, Social & Personal Services",HIGH,2026-Q2,26683.0
Government Activities,LOW,2026-Q2,126091.0
Government Activities,MEDIUM,2026-Q2,141906.0
Government Activities,HIGH,2026-Q2,161525.0
Riyadh GDP,LOW,2026-Q2,432058.0
Riyadh GDP,MEDIUM,2026-Q2,486250.0
Riyadh GDP,HIGH,2026-Q2,553478.0
Saudi Arabia GDP,LOW,2026-Q2,1048131.0
Saudi Arabia GDP,MEDIUM,2026-Q2,1179597.0
Saudi Arabia GDP,HIGH,2026-Q2,1342685.0
"Agriculture, Forestry & Fishing",LOW,2026-Q3,14242.0
"Agriculture, Forestry & Fishing",MEDIUM,2026-Q3,16241.0
"Agriculture, Forestry & Fishing",HIGH,2026-Q3,18754.0
Mining & Quarrying,LOW,2026-Q3,30614.0
Mining & Quarrying,MEDIUM,2026-Q3,34909.0
Mining & Quarrying,HIGH,2026-Q3,40312.0
Manufacturing,LOW,2026-Q3,54179.0
Manufacturing,MEDIUM,2026-Q3,61780.0
Manufacturing,HIGH,2026-Q3,71341.0
"Electricity, Gas and Water",LOW,2026-Q3,7456.0
"Electricity, Gas and Water",MEDIUM,2026-Q3,8502.0
"Electricity, Gas and Water",HIGH,2026-Q3,9817.0
Construction,LOW,2026-Q3,22989.0
Construction,MEDIUM,2026-Q3,26215.0
Construction,HIGH,2026-Q3,30272.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2026-Q3,41052.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2026-Q3,46812.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2026-Q3,54056.0
"Transport, Storage & Communication",LOW,2026-Q3,30763.0
"Transport, Storage & Communication",MEDIUM,2026-Q3,35079.0
"Transport, Storage & Communication",HIGH,2026-Q3,40508.0
Real Estate,LOW,2026-Q3,33513.0
Real Estate,MEDIUM,2026-Q3,38214.0
Real Estate,HIGH,2026-Q3,44128.0
"Finance, Insurance and Business services",LOW,2026-Q3,44517.0
"Finance, Insurance and Business services",MEDIUM,2026-Q3,50763.0
"Finance, Insurance and Business services",HIGH,2026-Q3,58618.0
"Community, Social & Personal Services",LOW,2026-Q3,21277.0
"Community, Social & Personal Services",MEDIUM,2026-Q3,24262.0
"Community, Social & Personal Services",HIGH,2026-Q3,28017.0
Government Activities,LOW,2026-Q3,128802.0
Government Activities,MEDIUM,2026-Q3,146873.0
Government Activities,HIGH,2026-Q3,169602.0
Riyadh GDP,LOW,2026-Q3,441347.0
Riyadh GDP,MEDIUM,2026-Q3,503269.0
Riyadh GDP,HIGH,2026-Q3,581152.0
Saudi Arabia GDP,LOW,2026-Q3,1070666.0
Saudi Arabia GDP,MEDIUM,2026-Q3,1220883.0
Saudi Arabia GDP,HIGH,2026-Q3,1409819.0
"Agriculture, Forestry & Fishing",LOW,2026-Q4,14549.0
"Agriculture, Forestry & Fishing",MEDIUM,2026-Q4,16809.0
"Agriculture, Forestry & Fishing",HIGH,2026-Q4,19692.0
Mining & Quarrying,LOW,2026-Q4,31272.0
Mining & Quarrying,MEDIUM,2026-Q4,36131.0
Mining & Quarrying,HIGH,2026-Q4,42327.0
Manufacturing,LOW,2026-Q4,55344.0
Manufacturing,MEDIUM,2026-Q4,63943.0
Manufacturing,HIGH,2026-Q4,74908.0
"Electricity, Gas and Water",LOW,2026-Q4,7616.0
"Electricity, Gas and Water",MEDIUM,2026-Q4,8799.0
"Electricity, Gas and Water",HIGH,2026-Q4,10308.0
Construction,LOW,2026-Q4,23484.0
Construction,MEDIUM,2026-Q4,27132.0
Construction,HIGH,2026-Q4,31785.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2026-Q4,41935.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2026-Q4,48450.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2026-Q4,56759.0
"Transport, Storage & Communication",LOW,2026-Q4,31424.0
"Transport, Storage & Communication",MEDIUM,2026-Q4,36307.0
"Transport, Storage & Communication",HIGH,2026-Q4,42533.0
Real Estate,LOW,2026-Q4,34233.0
Real Estate,MEDIUM,2026-Q4,39552.0
Real Estate,HIGH,2026-Q4,46335.0
"Finance, Insurance and Business services",LOW,2026-Q4,45474.0
"Finance, Insurance and Business services",MEDIUM,2026-Q4,52539.0
"Finance, Insurance and Business services",HIGH,2026-Q4,61549.0
"Community, Social & Personal Services",LOW,2026-Q4,21735.0
"Community, Social & Personal Services",MEDIUM,2026-Q4,25112.0
"Community, Social & Personal Services",HIGH,2026-Q4,29418.0
Government Activities,LOW,2026-Q4,131571.0
Government Activities,MEDIUM,2026-Q4,152013.0
Government Activities,HIGH,2026-Q4,178082.0
Riyadh GDP,LOW,2026-Q4,450836.0
Riyadh GDP,MEDIUM,2026-Q4,520884.0
Riyadh GDP,HIGH,2026-Q4,610210.0
Saudi Arabia GDP,LOW,2026-Q4,1093686.0
Saudi Arabia GDP,MEDIUM,2026-Q4,1263613.0
Saudi Arabia GDP,HIGH,2026-Q4,1480310.0
"Agriculture, Forestry & Fishing",LOW,2027-Q1,14861.0
"Agriculture, Forestry & Fishing",MEDIUM,2027-Q1,17397.0
"Agriculture, Forestry & Fishing",HIGH,2027-Q1,20676.0
Mining & Quarrying,LOW,2027-Q1,31945.0
Mining & Quarrying,MEDIUM,2027-Q1,37396.0
Mining & Quarrying,HIGH,2027-Q1,44444.0
Manufacturing,LOW,2027-Q1,56534.0
Manufacturing,MEDIUM,2027-Q1,66181.0
Manufacturing,HIGH,2027-Q1,78654.0
"Electricity, Gas and Water",LOW,2027-Q1,7780.0
"Electricity, Gas and Water",MEDIUM,2027-Q1,9107.0
"Electricity, Gas and Water",HIGH,2027-Q1,10824.0
Construction,LOW,2027-Q1,23989.0
Construction,MEDIUM,2027-Q1,28082.0
Construction,HIGH,2027-Q1,33375.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2027-Q1,42837.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2027-Q1,50146.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2027-Q1,59597.0
"Transport, Storage & Communication",LOW,2027-Q1,32100.0
"Transport, Storage & Communication",MEDIUM,2027-Q1,37578.0
"Transport, Storage & Communication",HIGH,2027-Q1,44660.0
Real Estate,LOW,2027-Q1,34969.0
Real Estate,MEDIUM,2027-Q1,40936.0
Real Estate,HIGH,2027-Q1,48651.0
"Finance, Insurance and Business services",LOW,2027-Q1,46452.0
"Finance, Insurance and Business services",MEDIUM,2027-Q1,54378.0
"Finance, Insurance and Business services",HIGH,2027-Q1,64627.0
"Community, Social & Personal Services",LOW,2027-Q1,22202.0
"Community, Social & Personal Services",MEDIUM,2027-Q1,25991.0
"Community, Social & Personal Services",HIGH,2027-Q1,30889.0
Government Activities,LOW,2027-Q1,134400.0
Government Activities,MEDIUM,2027-Q1,157334.0
Government Activities,HIGH,2027-Q1,186986.0
Riyadh GDP,LOW,2027-Q1,460529.0
Riyadh GDP,MEDIUM,2027-Q1,539114.0
Riyadh GDP,HIGH,2027-Q1,640720.0
Saudi Arabia GDP,LOW,2027-Q1,1117200.0
Saudi Arabia GDP,MEDIUM,2027-Q1,1307840.0
Saudi Arabia GDP,HIGH,2027-Q1,1554326.0
"Agriculture, Forestry & Fishing",LOW,2027-Q2,15181.0
"Agriculture, Forestry & Fishing",MEDIUM,2027-Q2,18006.0
"Agriculture, Forestry & Fishing",HIGH,2027-Q2,21710.0
Mining & Quarrying,LOW,2027-Q2,32632.0
Mining & Quarrying,MEDIUM,2027-Q2,38705.0
Mining & Quarrying,HIGH,2027-Q2,46666.0
Manufacturing,LOW,2027-Q2,57749.0
Manufacturing,MEDIUM,2027-Q2,68497.0
Manufacturing,HIGH,2027-Q2,82586.0
"Electricity, Gas and Water",LOW,2027-Q2,7947.0
"Electricity, Gas and Water",MEDIUM,2027-Q2,9426.0
"Electricity, Gas and Water",HIGH,2027-Q2,11365.0
Construction,LOW,2027-Q2,24504.0
Construction,MEDIUM,2027-Q2,29065.0
Construction,HIGH,2027-Q2,35043.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2027-Q2,43757.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2027-Q2,51901.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2027-Q2,62577.0
"Transport, Storage & Communication",LOW,2027-Q2,32790.0
"Transport, Storage & Communication",MEDIUM,2027-Q2,38893.0
"Transport, Storage & Communication",HIGH,2027-Q2,46893.0
Real Estate,LOW,2027-Q2,35721.0
Real Estate,MEDIUM,2027-Q2,42369.0
Real Estate,HIGH,2027-Q2,51084.0
"Finance, Insurance and Business services",LOW,2027-Q2,47450.0
"Finance, Insurance and Business services",MEDIUM,2027-Q2,56281.0
"Finance, Insurance and Business services",HIGH,2027-Q2,67858.0
"Community, Social & Personal Services",LOW,2027-Q2,22679.0
"Community, Social & Personal Services",MEDIUM,2027-Q2,26900.0
"Community, Social & Personal Services",HIGH,2027-Q2,32433.0
Government Activities,LOW,2027-Q2,137289.0
Government Activities,MEDIUM,2027-Q2,162840.0
Government Activities,HIGH,2027-Q2,196335.0
Riyadh GDP,LOW,2027-Q2,470431.0
Riyadh GDP,MEDIUM,2027-Q2,557983.0
Riyadh GDP,HIGH,2027-Q2,672756.0
Saudi Arabia GDP,LOW,2027-Q2,1141220.0
Saudi Arabia GDP,MEDIUM,2027-Q2,1353614.0
Saudi Arabia GDP,HIGH,2027-Q2,1632042.0
"Agriculture, Forestry & Fishing",LOW,2027-Q3,15507.0
"Agriculture, Forestry & Fishing",MEDIUM,2027-Q3,18636.0
"Agriculture, Forestry & Fishing",HIGH,2027-Q3,22795.0
Mining & Quarrying,LOW,2027-Q3,33333.0
Mining & Quarrying,MEDIUM,2027-Q3,40059.0
Mining & Quarrying,HIGH,2027-Q3,48999.0
Manufacturing,LOW,2027-Q3,58991.0
Manufacturing,MEDIUM,2027-Q3,70894.0
Manufacturing,HIGH,2027-Q3,86716.0
"Electricity, Gas and Water",LOW,2027-Q3,8118.0
"Electricity, Gas and Water",MEDIUM,2027-Q3,9756.0
"Electricity, Gas and Water",HIGH,2027-Q3,11933.0
Construction,LOW,2027-Q3,25031.0
Construction,MEDIUM,2027-Q3,30082.0
Construction,HIGH,2027-Q3,36796.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2027-Q3,44698.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2027-Q3,53718.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2027-Q3,65706.0
"Transport, Storage & Communication",LOW,2027-Q3,33495.0
"Transport, Storage & Communication",MEDIUM,2027-Q3,40254.0
"Transport, Storage & Communication",HIGH,2027-Q3,49238.0
Real Estate,LOW,2027-Q3,36489.0
Real Estate,MEDIUM,2027-Q3,43852.0
Real Estate,HIGH,2027-Q3,53638.0
"Finance, Insurance and Business services",LOW,2027-Q3,48470.0
"Finance, Insurance and Business services",MEDIUM,2027-Q3,58251.0
"Finance, Insurance and Business services",HIGH,2027-Q3,71251.0
"Community, Social & Personal Services",LOW,2027-Q3,23167.0
"Community, Social & Personal Services",MEDIUM,2027-Q3,27842.0
"Community, Social & Personal Services",HIGH,2027-Q3,34055.0
Government Activities,LOW,2027-Q3,140241.0
Government Activities,MEDIUM,2027-Q3,168540.0
Government Activities,HIGH,2027-Q3,206152.0
Riyadh GDP,LOW,2027-Q3,480545.0
Riyadh GDP,MEDIUM,2027-Q3,577513.0
Riyadh GDP,HIGH,2027-Q3,706394.0
Saudi Arabia GDP,LOW,2027-Q3,1165756.0
Saudi Arabia GDP,MEDIUM,2027-Q3,1400991.0
Saudi Arabia GDP,HIGH,2027-Q3,1713644.0
"Agriculture, Forestry & Fishing",LOW,2027-Q4,15841.0
"Agriculture, Forestry & Fishing",MEDIUM,2027-Q4,19289.0
"Agriculture, Forestry & Fishing",HIGH,2027-Q4,23935.0
Mining & Quarrying,LOW,2027-Q4,34050.0
Mining & Quarrying,MEDIUM,2027-Q4,41461.0
Mining & Quarrying,HIGH,2027-Q4,51449.0
Manufacturing,LOW,2027-Q4,60259.0
Manufacturing,MEDIUM,2027-Q4,73376.0
Manufacturing,HIGH,2027-Q4,91051.0
"Electricity, Gas and Water",LOW,2027-Q4,8292.0
"Electricity, Gas and Water",MEDIUM,2027-Q4,10097.0
"Electricity, Gas and Water",HIGH,2027-Q4,12530.0
Construction,LOW,2027-Q4,25569.0
Construction,MEDIUM,2027-Q4,31135.0
Construction,HIGH,2027-Q4,38635.0
