id,GOSI_classification,OutPut Classification,Quarter,Region,Value
669,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q2,Riyadh,126168
670,Information and communication,"Transport, Storage & Communication",2021-Q2,Riyadh,55080
671,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q2,Riyadh,52482
672,Real estate activities,Real Estate,2021-Q2,Riyadh,19002
673,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q2,Riyadh,66591
683,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q3,Riyadh,43118
684,Mining and quarrying,Mining & Quarrying,2021-Q3,Riyadh,9934
685,Manufacturing,Manufacturing,2021-Q3,Riyadh,301891
686,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q3,Riyadh,38298
687,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q3,Riyadh,11484
688,Construction,Construction,2021-Q3,Riyadh,650000
689,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q3,Riyadh,779121
690,Transportation and storage,"Transport, Storage & Communication",2021-Q3,Riyadh,100090
691,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q3,Riyadh,121911
692,Information and communication,"Transport, Storage & Communication",2021-Q3,Riyadh,62788
693,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q3,Riyadh,52185
694,Real estate activities,Real Estate,2021-Q3,Riyadh,20293
695,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q3,Riyadh,65110
705,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2021-Q4,Riyadh,43118
706,Mining and quarrying,Mining & Quarrying,2021-Q4,Riyadh,9934
707,Manufacturing,Manufacturing,2021-Q4,Riyadh,301891
708,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2021-Q4,Riyadh,38298
709,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2021-Q4,Riyadh,11484
710,Construction,Construction,2021-Q4,Riyadh,650000
711,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,Riyadh,779121
712,Transportation and storage,"Transport, Storage & Communication",2021-Q4,Riyadh,100090
713,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2021-Q4,Riyadh,121911
714,Information and communication,"Transport, Storage & Communication",2021-Q4,Riyadh,62788
715,Financial and insurance activities,"Finance , Insurance and Business sevices",2021-Q4,Riyadh,52185
716,Real estate activities,Real Estate,2021-Q4,Riyadh,20293
717,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2021-Q4,Riyadh,65110
