id,GOSI_classification,OutPut Classification,Quarter,Region,Value
912,Information and communication,"Transport, Storage & Communication",2024-Q1,Riyadh,92423
913,Financial and insurance activities,"Finance , Insurance and Business sevices",2024-Q1,Riyadh,76336
914,Real estate activities,Real Estate,2024-Q1,Riyadh,25438
915,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2024-Q1,Riyadh,154615
89,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2020-Q1,KSA,101185
90,Mining and quarrying,Mining & Quarrying,2020-Q1,KSA,187677
91,Manufacturing,Manufacturing,2020-Q1,KSA,830945
92,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2020-Q1,KSA,90251
93,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2020-Q1,KSA,17369
94,Construction,Construction,2020-Q1,KSA,2304076
95,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q1,KSA,1952461
96,Transportation and storage,"Transport, Storage & Communication",2020-Q1,KSA,243323
97,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q1,KSA,416727
98,Information and communication,"Transport, Storage & Communication",2020-Q1,KSA,73316
99,Financial and insurance activities,"Finance , Insurance and Business sevices",2020-Q1,KSA,75082
100,Real estate activities,Real Estate,2020-Q1,KSA,36874
101,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2020-Q1,KSA,144121
111,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2020-Q2,KSA,104692
112,Mining and quarrying,Mining & Quarrying,2020-Q2,KSA,186193
113,Manufacturing,Manufacturing,2020-Q2,KSA,830511
114,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2020-Q2,KSA,86442
115,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2020-Q2,KSA,17212
116,Construction,Construction,2020-Q2,KSA,2278965
117,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q2,KSA,1940320
118,Transportation and storage,"Transport, Storage & Communication",2020-Q2,KSA,244628
119,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q2,KSA,415626
120,Information and communication,"Transport, Storage & Communication",2020-Q2,KSA,73029
121,Financial and insurance activities,"Finance , Insurance and Business sevices",2020-Q2,KSA,74772
122,Real estate activities,Real Estate,2020-Q2,KSA,37306
123,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2020-Q2,KSA,140855
133,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2020-Q3,KSA,104466
134,Mining and quarrying,Mining & Quarrying,2020-Q3,KSA,182321
135,Manufacturing,Manufacturing,2020-Q3,KSA,831137
136,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2020-Q3,KSA,83056
137,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2020-Q3,KSA,17076
138,Construction,Construction,2020-Q3,KSA,2195195
139,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q3,KSA,1928671
140,Transportation and storage,"Transport, Storage & Communication",2020-Q3,KSA,245070
141,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q3,KSA,420587
142,Information and communication,"Transport, Storage & Communication",2020-Q3,KSA,73704
143,Financial and insurance activities,"Finance , Insurance and Business sevices",2020-Q3,KSA,74948
144,Real estate activities,Real Estate,2020-Q3,KSA,37551
145,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2020-Q3,KSA,134901
551,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2020-Q1,Riyadh,41339
552,Mining and quarrying,Mining & Quarrying,2020-Q1,Riyadh,9962
553,Manufacturing,Manufacturing,2020-Q1,Riyadh,290261
554,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2020-Q1,Riyadh,45921
555,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2020-Q1,Riyadh,5218
556,Construction,Construction,2020-Q1,Riyadh,719538
557,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q1,Riyadh,845164
558,Transportation and storage,"Transport, Storage & Communication",2020-Q1,Riyadh,80728
559,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q1,Riyadh,124693
560,Information and communication,"Transport, Storage & Communication",2020-Q1,Riyadh,54983
